trade_id,ticker,side,quantity,price,notional,timestamp
T0001,BARC,BUY,2642,2.0827,5502.49,2026-05-11 23:32:30
T0002,BARC,SELL,5784,2.0987,12138.88,2026-05-11 18:58:08
T0003,MSFT,SELL,3528,419.6037,1480361.85,2026-05-11 19:22:28
T0004,VOD,BUY,5547,0.755,4187.98,2026-05-11 18:34:24
T0005,HSBC,BUY,1182,7.414,8763.35,2026-05-11 19:04:10
T0006,MSFT,SELL,256,415.2232,106297.14,2026-05-11 19:40:17
T0007,HSBC,SELL,5489,7.4428,40853.53,2026-05-11 21:07:54
T0008,AAPL,SELL,8970,212.0789,1902347.73,2026-05-11 18:36:25
T0009,VOD,SELL,1928,0.7598,1464.89,2026-05-11 22:08:09
T0010,HSBC,BUY,880,7.4984,6598.59,2026-05-11 20:05:20
T0011,MSFT,SELL,4677,417.1399,1950963.31,2026-05-11 22:42:45
T0012,HSBC,BUY,4945,7.3828,36507.95,2026-05-11 19:00:13
T0013,VOD,SELL,3481,0.7522,2618.41,2026-05-11 21:08:10
T0014,VOD,BUY,817,0.7712,630.07,2026-05-11 19:05:08
T0015,VOD,BUY,2042,0.739,1509.04,2026-05-11 20:12:35
T0016,BP,SELL,4178,5.2196,21807.49,2026-05-11 18:35:10
T0017,VOD,BUY,2544,0.746,1897.82,2026-05-11 19:32:53
T0018,MSFT,SELL,1954,419.0435,818811.0,2026-05-11 22:09:51
T0019,MSFT,SELL,2345,419.8866,984634.08,2026-05-11 22:58:42
T0020,MSFT,BUY,6098,418.3541,2551123.3,2026-05-11 23:42:52
T0021,MSFT,BUY,2374,425.6703,1010541.29,2026-05-11 23:39:57
T0022,AAPL,SELL,3237,211.6683,685170.29,2026-05-11 20:04:25
T0023,AAPL,BUY,1615,207.8376,335657.72,2026-05-11 22:59:09
T0024,AAPL,SELL,3804,209.1635,795657.95,2026-05-11 22:54:42
T0025,AAPL,BUY,8818,211.6392,1866234.47,2026-05-11 20:29:02
T0026,MSFT,BUY,4223,422.9384,1786068.86,2026-05-11 19:09:05
T0027,VOD,BUY,3842,0.7512,2886.11,2026-05-11 20:41:13
T0028,BARC,SELL,2729,2.095,5717.26,2026-05-11 19:53:08
T0029,AAPL,SELL,831,212.1595,176304.54,2026-05-11 18:48:05
T0030,VOD,BUY,4651,0.748,3478.95,2026-05-11 19:35:20
T0031,BARC,SELL,1562,2.0997,3279.73,2026-05-11 20:18:00
T0032,MSFT,SELL,6446,429.3115,2767341.93,2026-05-11 20:05:30
T0033,MSFT,BUY,9854,417.8528,4117521.49,2026-05-11 20:47:11
T0034,VOD,SELL,3629,0.7513,2726.47,2026-05-11 20:23:50
T0035,HSBC,SELL,4073,7.4027,30151.2,2026-05-11 23:00:37
T0036,BP,SELL,2990,5.2486,15693.31,2026-05-11 20:41:07
T0037,BP,BUY,6327,5.2884,33459.71,2026-05-11 23:07:30
T0038,HSBC,BUY,5020,7.394,37117.88,2026-05-11 18:45:46
T0039,BARC,BUY,3724,2.0952,7802.52,2026-05-11 20:49:54
T0040,BARC,BUY,9179,2.0796,19088.65,2026-05-11 18:20:32
T0041,MSFT,BUY,6854,421.932,2891921.93,2026-05-11 18:41:21
T0042,HSBC,BUY,5539,7.4244,41123.75,2026-05-11 19:44:22
T0043,MSFT,BUY,7220,417.9935,3017913.07,2026-05-11 18:33:08
T0044,BP,BUY,1581,5.2527,8304.52,2026-05-11 20:48:33
T0045,VOD,SELL,1212,0.7537,913.48,2026-05-11 22:17:27
T0046,AAPL,SELL,4454,209.6996,934002.02,2026-05-11 19:35:01
T0047,BARC,BUY,4661,2.1181,9872.46,2026-05-11 20:21:15
T0048,MSFT,BUY,2854,417.7779,1192338.13,2026-05-11 19:07:42
T0049,VOD,SELL,2636,0.7494,1975.42,2026-05-11 21:45:09
T0050,MSFT,SELL,5459,420.8086,2297194.15,2026-05-11 20:13:04
